From Point,To Point,Distance (km),Fare (BDT)
Kamrangirchar (Beribadh),Kamrangirchar (Beribadh),0,0
Kamrangirchar (Beribadh),Mohammadpur,9.2,23
Kamrangirchar (Beribadh),Asadgate,10.6,26
Kamrangirchar (Beribadh),Technical,14.3,35
Kamrangirchar (Beribadh),Mirpur-1,16,39
Kamrangirchar (Beribadh),Shah Ali Mazar,16.7,41
Kamrangirchar (Beribadh),Diabari (Beribadh),18.4,45
Kamrangirchar (Beribadh),Dhour More,31.7,78
Kamrangirchar (Beribadh),Zirabo,37.4,92
Kamrangirchar (Beribadh),Narshingpur,44,108
Kamrangirchar (Beribadh),Kashempur,48,118
Kamrangirchar (Beribadh),Konabari,52,127
Mohammadpur,Mohammadpur,0,0
Mohammadpur,Asadgate,1.4,10
Mohammadpur,Technical,5.1,12
Mohammadpur,Mirpur-1,6.8,17
Mohammadpur,Shah Ali Mazar,7.5,18
Mohammadpur,Diabari (Beribadh),9.2,23
Mohammadpur,Dhour More,22.5,55
Mohammadpur,Zirabo,28.2,69
Mohammadpur,Narshingpur,34.8,85
Mohammadpur,Kashempur,38.8,95
Mohammadpur,Konabari,42.8,105
Asadgate,Asadgate,0,0
Asadgate,Technical,3.7,10
Asadgate,Mirpur-1,5.4,13
Asadgate,Shah Ali Mazar,6.1,15
Asadgate,Diabari (Beribadh),7.8,19
Asadgate,Dhour More,21.1,52
Asadgate,Zirabo,26.8,66
Asadgate,Narshingpur,33.4,82
Asadgate,Kashempur,37.4,92
Asadgate,Konabari,41.4,101
Technical,Technical,0,0
Technical,Mirpur-1,1.7,10
Technical,Shah Ali Mazar,2.4,10
Technical,Diabari (Beribadh),4.1,10
Technical,Dhour More,17.4,43
Technical,Zirabo,23.1,57
Technical,Narshingpur,29.7,73
Technical,Kashempur,33.7,83
Technical,Konabari,37.7,92
Mirpur-1,Mirpur-1,0,0
Mirpur-1,Shah Ali Mazar,0.7,10
Mirpur-1,Diabari (Beribadh),2.4,10
Mirpur-1,Dhour More,15.7,38
Mirpur-1,Zirabo,21.4,52
Mirpur-1,Narshingpur,28,69
Mirpur-1,Kashempur,32,78
Mirpur-1,Konabari,36,88
Shah Ali Mazar,Shah Ali Mazar,0,0
Shah Ali Mazar,Diabari (Beribadh),1.7,10
Shah Ali Mazar,Dhour More,15,37
Shah Ali Mazar,Zirabo,20.7,51
Shah Ali Mazar,Narshingpur,27.3,67
Shah Ali Mazar,Kashempur,31.3,77
Shah Ali Mazar,Konabari,35.3,86
Diabari (Beribadh),Diabari (Beribadh),0,0
Diabari (Beribadh),Dhour More,13.3,33
Diabari (Beribadh),Zirabo,19,47
Diabari (Beribadh),Narshingpur,25.6,63
Diabari (Beribadh),Kashempur,29.6,73
Diabari (Beribadh),Konabari,33.6,82
Dhour More,Dhour More,0,0
Dhour More,Zirabo,5.7,14
Dhour More,Narshingpur,12.3,30
Dhour More,Kashempur,16.3,40
Dhour More,Konabari,20.3,50
Zirabo,Zirabo,0,0
Zirabo,Narshingpur,6.6,16
Zirabo,Kashempur,10.6,26
Zirabo,Konabari,14.6,36
Narshingpur,Narshingpur,0,0
Narshingpur,Kashempur,4,10
Narshingpur,Konabari,8,20
Kashempur,Kashempur,0,0
Kashempur,Konabari,4,10
Konabari,Konabari,0,0
Saynabord,Saynabord,0,0
Saynabord,Jatrabari,5,12
Saynabord,Sayedabad,6,15
Saynabord,Maniknagar,7.4,18
Saynabord,Basabo,9.4,23
Saynabord,Malibagh,11.1,27
Saynabord,Rampura,13.5,33
Saynabord,Badda,15.3,37
Saynabord,Notun Bazar,17.4,43
Saynabord,Kuril Bishwaroad,20,49
Saynabord,Khilkhet,21,51
Saynabord,Airport,23.8,58
Saynabord,Abdullahpur,27.5,67
Saynabord,Kamarpara,29.7,73
Saynabord,Dhour,33,81
Jatrabari,Jatrabari,0,0
Jatrabari,Sayedabad,1,10
Jatrabari,Maniknagar,2.4,10
Jatrabari,Basabo,4.4,11
Jatrabari,Malibagh,6.1,15
Jatrabari,Rampura,8.5,21
Jatrabari,Badda,10.3,25
Jatrabari,Notun Bazar,12.4,30
Jatrabari,Kuril Bishwaroad,15,37
Jatrabari,Khilkhet,16,39
Jatrabari,Airport,18.8,46
Jatrabari,Abdullahpur,22.5,55
Jatrabari,Kamarpara,24.7,61
Jatrabari,Dhour,28,69
Sayedabad,Sayedabad,0,0
Sayedabad,Maniknagar,1.4,10
Sayedabad,Basabo,3.4,10
Sayedabad,Malibagh,5.1,12
Sayedabad,Rampura,7.5,18
Sayedabad,Badda,9.3,23
Sayedabad,Notun Bazar,11.4,28
Sayedabad,Kuril Bishwaroad,14,34
Sayedabad,Khilkhet,15,37
Sayedabad,Airport,17.8,44
Sayedabad,Abdullahpur,21.5,53
Sayedabad,Kamarpara,23.7,58
Sayedabad,Dhour,27,66
Maniknagar,Maniknagar,0,0
Maniknagar,Basabo,2,10
Maniknagar,Malibagh,3.7,10
Maniknagar,Rampura,6.1,15
Maniknagar,Badda,7.9,19
Maniknagar,Notun Bazar,10,25
Maniknagar,Kuril Bishwaroad,12.6,31
Maniknagar,Khilkhet,13.6,33
Maniknagar,Airport,16.4,40
Maniknagar,Abdullahpur,20.1,49
Maniknagar,Kamarpara,22.3,55
Maniknagar,Dhour,25.6,63
Basabo,Basabo,0,0
Basabo,Malibagh,1.7,10
Basabo,Rampura,4.1,10
Basabo,Badda,5.9,14
Basabo,Notun Bazar,8,19
Basabo,Kuril Bishwaroad,10.6,26
Basabo,Khilkhet,11.6,28
Basabo,Airport,14.4,35
Basabo,Abdullahpur,18.1,44
Basabo,Kamarpara,20.3,50
Basabo,Dhour,23.6,58
Malibagh,Malibagh,0,0
Malibagh,Rampura,2.4,10
Malibagh,Badda,4.2,10
Malibagh,Notun Bazar,6.3,15
Malibagh,Kuril Bishwaroad,8.9,22
Malibagh,Khilkhet,9.9,24
Malibagh,Airport,12.7,31
Malibagh,Abdullahpur,16.4,40
Malibagh,Kamarpara,18.6,46
Malibagh,Dhour,21.9,54
Rampura,Rampura,0,0
Rampura,Badda,1.8,10
Rampura,Notun Bazar,3.9,10
Rampura,Kuril Bishwaroad,6.5,16
Rampura,Khilkhet,7.5,18
Rampura,Airport,10.3,25
Rampura,Abdullahpur,14,34
Rampura,Kamarpara,16.2,40
Rampura,Dhour,19.5,48
Badda,Badda,0,0
Badda,Notun Bazar,2.1,10
